"Y","A","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185"
-12.7986609076406,1,1,0,1,10,5,-1,3,-0.46,0,22,4,15,15,25,20,15,10,1,7,8,8,7,7,6,8,6,1,7,152,2,1,1,0,2,1,2,61,213,1,76,1,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,8,15,30,5,15,40,5,5,-1,-1,-1,-1,-1,-1,20,15,20,20,5,20,9,9,9,9,9,-1,-1,-1,-1,-1,8,8,9,8,9,9,8,7,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,3,-1,-1,-1,-1,-1,-1,-1,20,14.29,17.14,22.86,14.29,11.43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,9,9,9,9,-1,-1,-1,-1,-1,1,1,0,-1,-1,30,10,20,30,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,9,9,9,9,-1,-1,-1,-1,-1
-23.4926880493899,0,0,1,9,20,6,6,5,0.09,1,26,2,16.28,16.28,18.6,16.28,16.28,16.28,1,7,8,7,7,4,7,7,5,2,11,191,11,1,1,0,2,3,10,198,175,1,257,2,7,6,9,8,5,5,9,9,8,10,1,3,4,3,6,5,1,8,-1,153.8,192.3,192.3,192.3,134.6,134.6,70,90,70,90,100,80,227.3,159.1,181.8,181.8,113.6,136.4,90,80,100,100,80,-10,-10,-10,-10,-10,9,10,9,9,8,9,9,7,2,6,166.7,125,208.3,208.3,125,166.7,90,70,100,90,60,8,3,3,-10,-10,-10,-10,-10,-10,160,120,200,180,160,180,90,100,70,80,60,90,208.3,125,187.5,187.5,125,166.7,90,70,90,80,70,-10,-10,-10,-10,-10,0,4,1,1,-1,156.9,156.9,196.1,176.5,156.9,156.9,-10,-10,-10,-10,-10,-10,80,80,70,80,90,80,90,80,70,80,60,-10,80,80,90,90,80,-10,-10,-10,-10,-10
-23.1527265440293,0,1,1,4,18,7,-1,15,-0.06,0,22,2,15,20,20,20,5,20,1,7,8,8,8,8,6,7,6,2,9,151,2,1,1,0,1,1,2,234,126,1,181,1,9,9,6,8,5,5,3,4,7,8,6,6,7,4,7,5,5,5,1,30,15,20,20,0,5,-1,-1,-1,-1,-1,-1,25,15,20,15,10,15,8,7,9,8,6,-1,-1,-1,-1,-1,8,8,8,8,7,6,7,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,3,-1,-1,-1,-1,-1,-1,30,10,20,20,10,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,6,8,9,5,-1,-1,-1,-1,-1,8,6,1,-1,4,40,10,20,20,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,7,8,9,7,-1,-1,-1,-1,-1
-7.21460945749766,1,1,1,4,18,18,-1,11,0.09,1,29,2,14,20,18,24,18,6,0,7,7,7,7,7,6,7,4,2,8,88,6,1,1,0,2,1,2,225,1,3,114,5,7,3,4,5,6,7,3,2,5,7,3,7,7,4,6,2,2,5,2,10,20,35,20,0,15,-1,-1,-1,-1,-1,-1,25,25,15,15,10,10,4,8,3,7,2,-1,-1,-1,-1,-1,8,8,7,7,6,4,7,4,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,1,2,-1,-1,-1,-1,-1,-1,10,10,40,30,0,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,8,6,4,2,-1,-1,-1,-1,-1,0,2,1,-1,-1,5,25,45,5,0,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,5,6,2,2,-1,-1,-1,-1,-1
14.5734672672327,1,1,1,12,14,9,9,5,0.1,0,22,4,16,20,19,16,18,11,0,7,6,6,6,6,5,6,5,2,9,62,6,229,60,26630,2,7,9,162,204,1,1,10,2,2,3,7,6,6,3,8,5,9,8,7,9,5,6,5,3,6,-1,24,15,20,20,8,13,25,10,18,22,13,12,21,17,16,15,13,18,7,6,8,7,4,7,5,9,7,5,8,8,7,6,7,3,6,5,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9.10966905969889,0,0,1,19,15,3,3,9,-0.01,0,20,4,30,10,10,30,10,10,0,8,7,9,6,10,10,5,3,2,8,259,19,7,52,2406,2,1,2,236,137,1,347,10,4,2,9,8,5,6,4,3,2,8,5,5,7,6,8,4,2,5,-1,10,20,20,15,20,15,25,15,15,20,10,15,45,5,15,15,10,10,7,9,7,8,8,7,9,8,7,7,6,5,8,7,6,3,-1,-1,0,0,7,7,8,8,9,9,7,7,7,7,8,2,1,2,40,5,5,5,5,40,25,15,15,15,10,30,20,15,15,15,10,25,30,10,10,15,10,25,7,7,7,7,7,7,6,6,7,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12.0066475306149,1,1,1,19,15,9,11,15,-0.09,1,34,4,15,20,20,15,15,15,1,7,8,8,8,8,7,8,7,2,4,225,14,221,1,0,4,1,2,189,1,5,246,13,10,10,7,7,4,4,3,3,6,7,10,8,8,7,7,10,6,10,-1,30,10,10,30,10,10,30,20,10,30,5,5,25,25,10,20,10,10,7,7,8,8,8,7,9,9,8,9,5,10,10,6,7,4,7,2,-1,1,10,7,7,10,7,10,7,7,7,9,2,8,3,3,30,15,15,30,5,5,30,15,15,30,5,5,25,15,10,20,10,20,20,20,10,20,15,15,7,7,8,8,8,7,8,7,8,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17.5791519105104,1,1,0,10,9,8,8,5,0.3,1,22,6,20,20,20,10,10,20,0,4,8,7,8,9,8,7,5,2,17,105,9,186,1,0,6,2,8,57,1,1,351,7,7,9,1,10,8,6,1,1,6,10,7,3,8,8,5,4,1,5,-1,22,22,15,15,5,21,35,15,5,25,5,20,15,15,25,10,25,10,7,9,7,10,7,7,9,10,7,7,9,9,8,9,7,9,9,8,0,4,20,20,18,17,10,15,7,9,9,8,9,8,1,3,-1,-1,-1,-1,-1,-1,19,19,17,19,10,16,22,17,12,19,10,20,14,18,18,16,19,15,7,9,10,9,8,7,9,10,9,8,0,0,0,-1,-1,20,20,20,15,10,15,20,20,20,15,10,15,15,20,20,15,20,15,15,20,20,15,20,15,7,9,10,8,9,7,9,10,8,9
12.3416715694654,1,0,1,21,22,7,7,8,-0.2,1,30,2,35,10,20,25,5,5,1,7,6,5,7,7,4,6,7,2,1,188,16,67,46,27350,2,1,2,51,1,2,22,6,1,1,1,8,9,10,8,0,9,9,6,10,9,7,10,5,5,-1,-1,20,20,20,20,5,15,50,5,5,20,10,10,50,5,5,20,10,10,7,8,8,7,7,7,6,6,7,6,7,8,8,8,7,6,7,7,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,3,2,40,10,10,10,10,5,40,10,10,10,5,25,60,5,5,5,5,20,60,5,5,5,5,20,7,7,7,9,6,7,6,7,7,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-13.0460713292232,0,0,1,2,16,7,-1,13,-0.04,0,24,2,25,35,30,10,0,0,0,4,5,5,3,5,1,5,2,2,11,251,10,1,1,0,1,1,3,8,45,2,161,5,1,2,2,8,8,8,1,2,6,8,8,8,9,7,7,8,8,4,2,20,20,20,10,10,20,-1,-1,-1,-1,-1,-1,50,10,10,10,10,10,7,8,7,8,7,-1,-1,-1,-1,-1,5,7,7,5,7,3,4,3,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,3,3,-1,-1,-1,-1,-1,-1,20,20,10,20,10,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,7,7,7,7,-1,-1,-1,-1,-1,0,0,0,-1,0,15,15,20,15,15,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,8,8,7,6,-1,-1,-1,-1,-1
