"Y","A","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.2,1.21,0,0,0,0,0,0.2,1.21,0,0,0,0.6,0.4
0,1,0,0,0.89,0,0,0,0.14,0,0,0,0,0,0,0.14,0
1,1,0.22,0.45,1.12,0.22,0.22,0,0,0,0,1.12,0,1.35,0,0,0
0,0,0,0,0.47,0.47,0,0.47,0,0,0,1.89,0,0.47,0,0,0
0,1,0,0,0,0,0,0,0,0,0,3.84,0,0.64,0,0,0
0,0,0,0,0,0.6,0,0,2.42,0,0.6,0,0,0.6,0,0.6,0
0,0,0.86,0,1.3,0,0,0,0,0,0,0.43,0,0,0,0,0
1,1,2.09,0.29,0.09,0.29,0,0.39,0.09,0.79,0.39,3.19,0.09,1.69,0,1.39,0.99
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0.91,0,0,0,0,0,0,0.45,0.45,0.91,0,0.45,0,0.45,0
1,0,0.43,0.14,0.28,0,0,0,1.88,0.14,0.14,1.01,0,1.44,0,0,0
0,1,1.01,0,0,0,0,0,0,0,0,1.01,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0.5,0.5,0.5,0,0,0,0.5,0,1.5,3,0,1.5,0,0.5,0.5
0,1,0,0,1.25,0,0,0,0,0,0,2.5,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,1.31,0,2.63,0,0,0
0,0,0,0,2.28,0,0,0,0,0,0,0.76,0,0,0,0,0
0,1,0,0,1.83,0,0,0,0,0,0.91,1.83,0,0,0,0,0
1,0,1.32,0.72,2.53,0.6,0,0,0.6,0.24,0,4.45,0,1.8,0,0.72,0.96
0,0,1.14,0.33,1.07,1,0,0.26,0.4,0.06,0,4.1,0,0.94,0,0.53,0.26
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3.52,0,0,0,0,0,0,0,0,2.35,0,0,0
0,1,0,0,1.14,0,0,0,0,0,0,0,0,3.44,0,0,1.14
1,0,0,0,1.13,0,0,0,0,0,1.13,1.13,0,1.13,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0.88,0,0,0,0,0,0,0.88,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.54,0,0,0,0.54,0.54,0,4.32,0,1.08,0,1.62,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0
0,1,0,0,0,0,0,0,0,0,0,4.34,0,0,0,0,0
1,1,0,0,1.38,0.15,0,0,0,0.15,0,2.6,0,1.68,0,0.15,0
1,1,1.16,0,0,0,0,0,0,0,0,0,0,1.16,0,0,0
1,1,0,0,0,0,0,0,2.23,0,0,1.49,0,0,0,0,0
0,1,0,0,0.43,0.14,0,0,0,0.14,0,3.31,0,1.44,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.86,0,0.86,0,0,0
0,1,1.9,0,2.38,0,0.95,0,0.47,0,0,1.9,0,5.23,0,0,0
0,1,0,0,0.8,1.61,0,0,0,0,0,4.03,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,4.34,0,8.69,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0.98,0,0,0.98,0,0.98,0,0,0
0,0,0,0,0,0,0,0,0,0,0.44,1.76,0,2.2,0,2.2,0
0,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,1.31,0,0,0,0,0,0,1.31,0,5.26,0,0,1.31
1,1,0,0,4.58,0,0,0,0,0.91,0,0,0,0.91,0,0,0
0,1,0,0,2.7,0,0,0,0,0,0,3.6,0,0,0,0,0
0,0,1.55,0,0.51,0,0,0,0.25,0,0,1.55,0,0.51,0,0,0
0,1,0.55,0,0.55,0,0,0,0,0,0.55,3.35,0,1.11,0,0,0
1,1,0,0,0.34,0,0,0,0,0,0,0.45,0,0.22,0,0,0
0,0,1.25,0,0,0,0,0,0,0,0,1.87,0,1.25,0,0,0
0,1,0,0,1.85,1.85,0,0,0,0,0,1.85,0,0,0,0,0
0,0,0,0.19,0.76,0.19,0,0,0.19,0,0.19,0.38,0.19,0,0,0,0
1,0,0.75,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0
0,0,0,0,0.33,0.66,0,0,0.66,0.66,0,2.33,0,0.33,0,1.66,0.33
0,1,0,0.04,0.29,0.19,0,0,0,0.14,0.04,1.53,0.24,1.23,0,0.29,0.04
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0.17,0.17,0.34,0,0,0,0.87,0,0,1.39,0.17,0.87,0,0,0.17
0,1,0,0,0.45,0,0,0,0,0,0,0.9,0,0.45,9.5,0,0
0,1,0,0,0,1.01,0,0,0,0,0,2.02,0,0,0,0,0
0,1,1.83,0,2.29,0,0.91,0,0.45,0,0,1.83,0,5.04,0,0,0
